,Project Name,ID,URL,Reviewer,Problem type (qualitative),Intervention methodology,Mission Alignment,Equity & Inclusion,Evidence & Innovation,Potential Impact,Feasibility,Risk & Groundbreaking,Design Quality,Weighted Score,Normalised Scores by Rater,Notes,Do I think it is cool?,Do I have higher level of knowledge about it?,,
,Murmurations,2,https://murmurations.network,Richard,"""Communication Inefficiency – Gaps in effective communication, especially for civic engagement."", Coordination Challenges – Failures or difficulties in collaboration and collective action.","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives"""""", """"""Technological Counterpower Creation Mechanism: Developing decentralized alternatives to corporate/government tech Problem Targets: - Platform centralization - Surveillance capitalism - AI alignment risks Exemplar Projects: - Encrypted communication tools - P2P social protocols - Anti-surveillance browsers  """""", """"""Resilient Infrastructure Development Mechanism: Building anti-fragile institutional systems Problem Targets: - Centralised platform risks - Data silos - Energy grid vulnerabilities Exemplar Projects: - Federated data architectures - Community renewable grids - Decentralised identity systems""""""",3,3,3,3,3,3,2,2.9,-0.53,"System design is great, UI/UX is currently terrible. Decentralised sharing of structured data. Lower feasibility 3->5 on disciussion with Cas",5,2,Mission Alignment,0.2
,Nyaaya,3,https://nyaaya.org,Richard,"Access to Justice – Issues around equitable legal rights and consumer rights., ""Communication Inefficiency – Gaps in effective communication, especially for civic engagement."", Crisis Management – Issues in community resilience and managing crises effectively.","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,4,2,3,4,2,5,3.65,0.83,Clear explanations of Indian legal system as relevant to particular situations.,3,3,Equity & Inclusion,0.2
,Open Access UK,4,https://openaccess.transparency.org.uk,Richard,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", Access to Justice – Issues around equitable legal rights and consumer rights., ""Governance and Accountability – Challenges in leadership, transparency, and resource allocation.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """"""",5,2,3,4,4,3,4,3.55,0.65,Documents UK politicians' meetings with lobbyists,3,3,Evidence & Innovation,0.15
,Open Collective,5,https://opencollective.com,Richard,"""Inefficient Services – Failures in service delivery, resource allocation, and decision-making.""","""""""Structural Rebalancing Interventions Mechanism: Redistributing power/resources through alternative systems Problem Targets: - Economic inequality - Housing injustice - Labor exploitation Exemplar Projects: - Community land trusts - Worker-owned cooperatives - Mutual aid networks""""""",3,4,4,3,5,2,3,3.45,0.47,Providing financial services to various communities outside of the traditional finanacial system,2,3,Potential Impact,0.15
,Open Supply Hub,6,https://opensupplyhub.org,Richard,"""Access to Information – Barriers to obtaining, sharing, or utilizing information.""","""""""Systemic Accountability Engineering Mechanism: Creating transparency infrastructure and oversight mechanisms Problem Targets: - Governance opacity - Corporate secrecy - Surveillance overreach Exemplar Projects: - Parliamentary monitoring systems - Open contracting platforms - Algorithmic auditing tools  """""", """"""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",2,2,3,3,2,2,4,2.5,-1.25,Access supply chain data for various industries. Rating low as I think most of the data is submitted by companies themselves? How do they get data about companies doing shady things?,2,1,Feasibility,0.1
,Orca Ready,7,https://orcaready.org,Richard,"Coordination Challenges – Failures or difficulties in collaboration and collective action., ""Economic Inequality – Barriers to fair compensation, inclusive employment, and economic sustainability.""","""""""Normative Framework Transformation Mechanism: Shifting legal/ethical paradigms Problem Targets: - Outdated regulations - AI ethics gaps - Digital rights violations Exemplar Projects: - Strategic litigation campaigns - Ethical tech certification - Cultural narrative initiatives""""""",3,3,4,4,2,1,5,3.2,0.02,Template contract for compensating contributors to open-source projects which enable profits for their users.,4,3,Risk & Groundbreaking,0.1
,ORCID,8,https://orcid.org,Richard,"""Communication Inefficiency – Gaps in effective communication, especially for civic engagement.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",1,2,3,1,5,1,4,2.2,-1.80,Unique ID for researchers to put on their papers. Looks fine but not interesting or relevant IMO.,2,1,Design Quality,0.1
,Overton,9,https://overton.io,Richard,"""Access to Information – Barriers to obtaining, sharing, or utilizing information."", ""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,2,4,4,4,3,4,3.7,0.92,Single repository of regulations and legal documents from various countries.,4,1,,
,Parse The Bill,10,https://parsethebill.com,Richard,"""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",5,4,4,3,4,3,4,3.95,1.38,LLM-translations of UK parliament bills,3,3,,
,The Accountability Project,11,https://publicaccountability.org,Richard,"""Data Access and Quality – Problems with obtaining, managing, and analyzing data.""","""""""Knowledge Democratisation Mechanism: Removing information access barriers Problem Targets: - Academic paywalls - Legal complexity - Data fragmentation Exemplar Projects: - Open educational resources - AI-powered legal aid chatbots - Data liberation initiatives""""""",4,3,3,3,3,3,4,3.3,0.20,Single repository of various publically/politically relvant datasets,3,1,,
