website,source_type,content_summary,screenshot_path,project_name,categories,year_founded,project_location,funding_source,problem_scope,problem_urgency,problem_complexity,problem_statement,target_population,problem_type,policy_area,primary_mechanism,timeframe,impact_potential,activities,outputs,outcomes,impact,stars,forks,last_update,created_at,open_issues,language
http://hatemeter.eu,website,"The Hatemeter project, funded by the EU, developed an ICT tool to monitor, analyze, and combat online anti-Muslim hate speech. Running from February 2018 to January 2020, the project aimed to enhance NGOs' and CSOs' efficiency in addressing Islamophobia across Europe. The Hatemeter platform employs natural language processing, machine learning, and big data analytics to track and analyze hate speech in English, French, and Italian, producing counter-narratives and awareness campaigns. Key events included a final conference in Trento, Italy, and training seminars in Toulouse. The project emphasized interdisciplinary collaboration, integrating criminology with social and computer sciences for effective hate speech mitigation.",screenshots/hatemetereu_942cc7dd.png,Hatemeter,"AI & Data,Civic Tech,Social Justice,Digital Rights",2018,Europe,EU,regional,high,complex,"The proliferation of online anti-Muslim hate speech poses a significant threat to social cohesion, individual well-being, and democratic values across Europe. Existing mechanisms for monitoring, analyzing, and combating this hate speech are often insufficient, reactive, and lack the capacity to effectively counter its spread and impact.","Muslim communities across Europe, individuals targeted by Islamophobic hate speech, and organizations working to combat discrimination and promote social inclusion.",Online hate speech and discrimination,"Hate speech legislation, anti-discrimination policy, digital rights, social inclusion",advocacy,medium-term,substantial,"Developing and deploying a platform to monitor and analyze online anti-Muslim hate speech.;Utilizing natural language processing, machine learning, and big data analytics to identify and track hate speech patterns.;Creating counter-narratives and awareness campaigns to challenge Islamophobia.;Conducting training seminars for NGOs and CSOs on addressing online hate speech.;Organizing events to disseminate project findings and promote interdisciplinary collaboration.;Interdisciplinary collaboration, integrating criminology with social and computer sciences for effective hate speech mitigation",Hatemeter platform with hate speech monitoring and analysis capabilities.;Reports and datasets on the prevalence and characteristics of online anti-Muslim hate speech.;Counter-narrative campaigns and educational materials.;Trained personnel in NGOs and CSOs capable of addressing online hate speech.;Increased awareness among policymakers and the public about the issue of Islamophobia.,Improved monitoring and understanding of online anti-Muslim hate speech.;Enhanced capacity of NGOs and CSOs to respond to and counter hate speech.;Increased awareness of the harmful effects of Islamophobia.;Reduction in the spread of online anti-Muslim hate speech.;Improved public discourse on Islam and Muslim communities.,"A more inclusive and tolerant society in Europe where Muslim communities are protected from hate speech and discrimination, and where online spaces are free from Islamophobia.",N/A,N/A,N/A,N/A,N/A,N/A
https://12ft.io/,website,"12ft.io is a tool designed to create a cleaner, distraction-free browsing experience by removing popups, ads, and banners from webpages. By prepending ""12ft.io/"" to a URL, the service disables JavaScript, which often loads visual distractions after the page renders. This approach works for many websites, as most aim to be search engine-friendly, which typically doesn’t run JavaScript. The tool was created to combat the clutter caused by Google AdWords and SEO-optimized content, enabling users to access information without interruptions like email sign-ups. 12ft.io is available on iOS and emphasizes compliance with website terms of service and copyright.",screenshots/12ftio_df2d23b9.png,12ft.io,"Digital Rights,Media & Comms",2020,Global,Unknown,global,medium,complicated,"The internet is increasingly cluttered with advertisements, pop-ups, and banners, obstructing users' access to content and creating a frustrating browsing experience. This problem is exacerbated by SEO-optimized content designed to capture user attention rather than provide direct information.",Internet users worldwide who seek a cleaner and more efficient browsing experience.,Information access and user experience degradation due to advertising and website clutter.,"Digital rights, consumer protection, freedom of information",direct service,short-term,incremental,"Providing a URL modification service that disables JavaScript.;Removing advertisements, pop-ups, and banners from web pages.;Offering an iOS application for mobile access.",A functional tool that strips web pages of JavaScript-dependent clutter.;Cleaned and simplified webpage views.;Accessible content without disruptive advertisements.,Improved user experience while browsing the internet.;Increased efficiency in accessing information online.;Reduction in distractions from advertisements and pop-ups.;Increased awareness of website clutter issues.,"A future where internet users have greater control over their browsing experience, with easier access to information and minimal distractions, promoting digital literacy and informed citizenry.",N/A,N/A,N/A,N/A,N/A,N/A
https://adhocracy.plus,website,"adhocracy+ is a free, user-friendly digital democracy platform developed by Liquid Democracy, a non-profit association in Berlin. It enables organizations, municipalities, associations, and companies to create and manage participation projects easily, without requiring technical expertise. With over 27,000 active users and 2,200 projects, the platform fosters inclusive discussions, innovation competitions, and civic engagement. adhocracy+ is open-source, funded by donations, and offers free monthly workshops to help users get started. Recent updates include new features like a moderation dashboard and improved accessibility. Users can customize their organization’s page and support the platform’s development for long-term growth.",screenshots/adhocracyplus_385b6629.png,adhocracy+,"Civic Tech,Gov Services,Innovation & Reform,Open Systems",Unknown,Europe,Donations,regional,medium,complicated,"Lack of accessible and user-friendly digital tools for organizations and municipalities to effectively engage citizens in participatory decision-making processes, hindering democratic participation and innovation.","Organizations, municipalities, associations, and companies seeking to engage with their constituents; citizens who want to participate in community decision-making.","Accessibility, civic engagement, democratic participation","Civic technology, e-governance, public participation",capacity building,medium-term,substantial,"Developing and maintaining a user-friendly digital democracy platform (adhocracy+).;Providing free monthly workshops and support to help organizations onboard and manage participation projects.;Offering customization options for organizations to tailor the platform to their specific needs.;Continuously improving the platform with new features (e.g., moderation dashboard) and accessibility enhancements.;Fostering a community of users and developers to contribute to the platform's development and sustainability.",A free and open-source digital democracy platform.;Training materials and workshops for users.;Customizable platform features.;Regular platform updates and improvements.;A growing community of users and developers.,Increased adoption of digital participation tools by organizations and municipalities.;Improved citizen engagement in decision-making processes.;Enhanced democratic participation and transparency.;Greater innovation and problem-solving through collective intelligence.;Empowered citizens with the ability to influence public policy.,"To foster a more inclusive and participatory democracy by providing accessible and user-friendly digital tools for civic engagement, leading to more informed and equitable decision-making processes.",N/A,N/A,N/A,N/A,N/A,N/A
https://aisafety.info,website,"AI safety focuses on ensuring that artificial intelligence systems are developed and deployed in ways that benefit humanity and avoid catastrophic risks. The field addresses concerns such as control, alignment, and unintended consequences of advanced AI. Key questions include how to turn off misbehaving AI, the impact of technological unemployment, and the possibility of AI outthinking humans. AISafety.info provides resources for understanding and contributing to AI safety, including introductory content, advanced topics, and a chatbot named Stampy for answering questions. Individuals can get involved by donating, coding, or joining community discussions on AI safety initiatives.",screenshots/aisafetyinfo_efd6a671.png,AISafety.info,"AI & Data,Civic Tech,Community Impact,Innovation & Reform",2015,Global,Donations and Grants,global,high,complex,"The development of advanced artificial intelligence systems poses significant risks to humanity, including loss of control, misalignment of AI goals with human values, unintended consequences, technological unemployment, and existential threats from AI outsmarting humans. Ensuring AI systems are safe and beneficial requires focused research, development, and policy interventions.","Global population, future generations","Existential risk, technological risk, societal impact","Technology policy, AI governance, ethics",advocacy,long-term,transformative,Providing educational resources on AI safety;Developing the Stampy chatbot to answer AI safety questions;Facilitating community discussions on AI safety initiatives;Promoting AI safety research and development;Advocating for policies that support AI safety,Website with AI safety information;Stampy chatbot;Community forum;Research publications;Policy recommendations,Increased awareness of AI safety issues;Greater understanding of AI safety concepts;More researchers and developers working on AI safety;Development of safer AI systems;Implementation of policies that promote AI safety,A future where AI is developed and used in ways that benefit humanity and avoid catastrophic risks.,N/A,N/A,N/A,N/A,N/A,N/A
https://alaveteli.org,website,"Alaveteli, developed by mySociety, is an open-source platform designed to facilitate public Freedom of Information (FOI) requests. It enables citizens to ask questions of public authorities and share their requests and responses online. Used globally in over 25 jurisdictions, Alaveteli has processed over 1 million FOI requests. The platform supports multiple devices, offers customizable features, and is available in 20 languages. It simplifies the FOI process with automated notifications, reminders, and a user-friendly interface. Alaveteli’s open-source code encourages community contributions, making it adaptable to specific country needs and continuously improving transparency in governance.",screenshots/alaveteliorg_dbb6c2fc.png,Alaveteli,"Civic Tech,Gov Services,Open Systems,Innovation & Reform,Digital Rights",Unknown,Global,Unknown,global,medium,complex,"Lack of transparency and access to information from public authorities hinders accountability, citizen engagement, and informed decision-making. The process of requesting information can be cumbersome, discouraging public participation and potentially leading to corruption and inefficiency in governance.","Citizens, journalists, researchers, and civil society organizations seeking information from public authorities.",Lack of transparency and access to public information,"Freedom of Information, Open Government, Transparency",system change,long-term,substantial,Develop and maintain an open-source platform for submitting and tracking FOI requests.;Provide automated notifications and reminders to users and public authorities.;Facilitate public access to FOI requests and responses through an online archive.;Offer customizable features and language support to adapt to different country contexts.;Foster community contributions to continuously improve the platform.,An open-source Alaveteli platform.;Processed FOI requests.;Publicly available archive of FOI requests and responses.;Automated notifications and reminders.;Customizable features and language support.,Increased number of FOI requests submitted and processed.;Improved access to information from public authorities.;Enhanced public awareness of government activities.;Greater transparency and accountability in governance.;Empowered citizens to hold public authorities accountable.,"A world where governments are more transparent and accountable, enabling informed citizen participation and improved governance through easy access to public information.",N/A,N/A,N/A,N/A,N/A,N/A
https://aleph.occrp.org,website,"OCCRP Aleph is a data platform designed to help journalists and activists investigate financial crimes and corruption. It provides access to a vast archive of government records and open databases, although some data is restricted for privacy reasons. Aleph allows users to search documents, analyze structured data, upload their own files, and visualize connections. The data is focused on topics like asset tracking, corporate ownership, and government spending, with a geographic focus on Central/Eastern Europe, Sub-Saharan Africa, South America, and offshore jurisdictions. Access to protected data is granted on a case-by-case basis via an application form. Aleph is run by the Organized Crime and Corruption Reporting Project (OCCRP).",screenshots/alephoccrporg_8cb93edd.png,OCCRP Aleph,"AI & Data,Civic Tech,Media & Comms,Social Justice,Open Systems",2016,Global,"Grants, Donations",global,global,complex,"Lack of accessible and searchable data hinders effective investigation and prosecution of financial crimes and corruption, enabling illicit activities to thrive. This problem is exacerbated by disparate data sources, jurisdictional challenges, and the complexity of financial networks.","Journalists, activists, researchers, law enforcement agencies, and the general public affected by corruption and financial crime.",Information accessibility and transparency,"Anti-corruption, financial regulation, data privacy, freedom of information",system change,long-term,transformative,Aggregating and indexing government records and open databases related to financial crime and corruption.;Developing search and analysis tools to facilitate investigation of complex data.;Providing a secure platform for document analysis and collaboration.;Granting vetted access to restricted data to qualified users via application.;Offering training and support to journalists and activists on using the platform.,"A searchable database of government records, corporate data, and other relevant information.;Data visualization tools for identifying connections between individuals and entities.;A secure platform for uploading, analyzing, and sharing documents.;Access to curated datasets focused on asset recovery, corporate ownership transparency, and government spending.",Increased capacity of journalists and activists to investigate corruption and financial crime.;Improved detection and prosecution of illicit activities.;Greater transparency in government spending and corporate ownership.;Enhanced public awareness of corruption risks and impacts.,"A global ecosystem where corruption and financial crime are more easily detected, investigated, and ultimately prevented, fostering a more just and equitable society.",N/A,N/A,N/A,N/A,N/A,N/A
https://algorithmwatch.org,website,"AlgorithmWatch, a Berlin and Zurich-based NGO, advocates for ethical algorithms and AI that enhance justice, human rights, democracy, and sustainability. It critiques Meta's rollback of moderation and fact-checking, warning of negative EU impacts and urging European authorities to respond. The organization also calls for human rights-centered guidelines in implementing the EU's AI Act. Additionally, AlgorithmWatch studies AI reliability in elections, supports transparency under the Digital Services Act, and fosters journalistic research on AI’s political economy through its fellowship program. It encourages public support for its mission to ensure algorithms and AI serve societal good, offering updates via its blog and publications.",screenshots/algorithmwatchorg_9a574a0f.png,AlgorithmWatch,"AI & Data,Digital Rights,Civic Tech,Social Justice,Media & Comms,Innovation & Reform",2011,Europe,"Donations, grants, and fellowships",global,high,complex,"Unethical and non-transparent algorithms and artificial intelligence systems are being deployed in ways that undermine justice, human rights, democracy, and sustainability. Lack of oversight allows biased AI systems to perpetuate discrimination, erode privacy, and manipulate public opinion, straining societal well-being and democratic processes.","Citizens globally, particularly vulnerable groups affected by biased AI systems, policymakers, journalists, and civil society organizations.",Systemic risk arising from unchecked technological development,"Digital rights, AI governance, media regulation, algorithmic accountability",advocacy,long-term,substantial,"Researching and exposing flawed algorithms and AI systems.;Advocating for stronger AI regulations and ethical guidelines.;Monitoring the implementation of AI-related policies, such as the EU AI Act.;Providing critical analyses of tech companies' practices.;Supporting investigative journalism on the political economy of AI.;Raising public awareness about the risks and opportunities of AI through publications and events.",Reports and publications detailing harmful algorithmic practices.;Policy recommendations for ethical AI governance.;Critical analyses of tech companies' policies;Public statements and campaigns advocating for responsible AI development.;Journalistic investigations into the societal impacts of AI.,Increased public awareness of the potential harms of AI.;Enhanced regulatory frameworks for AI development and deployment.;Greater accountability for tech companies regarding their algorithmic practices.;Adoption of human rights-centered guidelines in AI implementation.;Improved public discourse on the ethical implications of AI.,"A future where algorithms and AI serve societal good by enhancing justice, human rights, democracy, and sustainability.",N/A,N/A,N/A,N/A,N/A,N/A
https://all-our-ideas.citizens.is,website,"""All Our Ideas"" is an innovative online platform that uses pairwise comparison voting to gather and analyze public opinion. Developed by Princeton sociologists, it allows users to compare two ideas at a time, voting for their preferred option. This method generates both quantitative and qualitative data, offering insights into collective preferences. The platform is efficient, engaging, and scalable, making it useful for organizations, researchers, and communities seeking feedback on various topics. By continuously updating with user-submitted ideas, it ensures a dynamic and inclusive decision-making process. ""All Our Ideas"" democratizes opinion gathering, making it accessible and effective for diverse applications.",screenshots/all-our-ideascitizensis_e077dcc4.png,All Our Ideas,"Civic Tech,AI & Data,Innovation & Reform,Gov Services",Unknown,Global,Unknown,global,medium,complex,"Inefficient and biased methods of gathering and analyzing public opinion often lead to decisions that do not accurately reflect collective preferences. Traditional surveys and polls can be costly, time-consuming, and may not adequately capture the nuances of public sentiment. The lack of inclusive and engaging platforms hinders effective decision-making processes in organizations and communities.","Organizations, researchers, communities, and the general public seeking to gather and analyze opinions on diverse topics.",Inefficient data collection and analysis,"Public Opinion, Governance, Civic Engagement",system change,medium-term,substantial,Developing and maintaining the online pairwise comparison platform.;Allowing users to submit and compare ideas.;Collecting and analyzing voting data.;Providing insights and reports on collective preferences.;Supporting its application across diverse contexts,An accessible and user-friendly online platform.;Quantitative data on idea preferences.;Qualitative data through idea submissions.;Reports and visualizations of aggregated opinions,Improved understanding of public sentiment.;More inclusive and representative decision-making.;Increased engagement in civic processes.;Data driven insights into collective preferences,"Democratized and efficient opinion gathering, leading to more informed and responsive governance and community development.",N/A,N/A,N/A,N/A,N/A,N/A
https://annas-archive.org,website,"Anna’s Archive, the largest open library, offers access to over 40 million books and 98 million papers, mirroring platforms like Sci-Hub and LibGen. It emphasizes open-source data, scraping and preserving content from Z-Lib, DuXiu, and others. The blog posts highlight initiatives such as visualizing all ISBNs with a $10,000 goal by 2025 and discussing the critical role of shadow libraries, covered by TorrentFreak. Supporting multiple languages, Anna’s Archive promotes open knowledge preservation and encourages user involvement through volunteering, bounties, and donations. Its mission is to safeguard scholarly and literary works for future generations.",screenshots/annas-archiveorg_74d285af.png,Anna’s Archive,"AI & Data,Civic Tech,Digital Rights,Open Systems,Social Justice,Innovation & Reform",2022,Global,"Donations, Bounties",global,high,complex,"Lack of free and open access to scholarly and literary works hinders education, research, and knowledge dissemination globally. Copyright restrictions, paywalls, and censorship limit access, creating disparities in access based on socioeconomic status and geographic location. The risk of losing access to existing digital collections due to technical obsolescence or institutional failures further exacerbates the problem.","Students, researchers, educators, librarians, and the general public worldwide who seek access to scholarly and literary resources, particularly those in developing countries or with limited financial resources.","Access to information, knowledge preservation","Copyright, open access, education, digital rights",system change,long-term,transformative,"Scraping and archiving scholarly and literary works from various sources (e.g., Z-Lib, LibGen, DuXiu);Creating and maintaining a searchable open library with free access to millions of books and papers;Developing open-source data visualization tools (e.g., visualizing all ISBNs);Engaging with the community through volunteering, creating bounties, and accepting donations;Promoting the importance of shadow libraries and open knowledge preservation through blog posts and media outreach.",A searchable database of over 40 million books and 98 million papers.;Open-source tools for data visualization and analysis.;A community of volunteers and supporters contributing to the project.;Blog posts and media coverage raising awareness about the importance of open access.;Mirrors of content from Z-Lib and similar sources,"Increased access to scholarly and literary works for students, researchers, and the general public.;Reduced disparities in access to knowledge based on socioeconomic status and geographic location.;Enhanced preservation of digital collections for future generations.;Greater awareness of the importance of open access and shadow libraries.;Empowerment of users to redistribute content and access scholarly publications without fees.","A world where everyone has free and open access to knowledge, fostering education, innovation, and social progress.",N/A,N/A,N/A,N/A,N/A,N/A
https://antievictionmappingproject.github.io/landlordtech,website,"The webpage ""Landlord Tech Watch"" requires JavaScript to function properly, indicating it likely offers interactive features or dynamic content. While specific details are not provided, the title suggests it focuses on technology trends, tools, and issues relevant to landlords, such as property management software, tenant screening, or smart home solutions. Enabling JavaScript ensures users can access and utilize the site’s full functionality, which may include real-time updates, analytics, or interactive tools designed to assist landlords in managing properties more efficiently. Users without JavaScript enabled may experience limited or non-functional access.",screenshots/antievictionmappingprojectgithubio_1e373426.png,Landlord Tech Watch,"Civic Tech,Innovation & Reform",2023,Global,Unknown,national,medium,complex,"Lack of transparency and oversight in the adoption and impact of technology used by landlords, potentially leading to unfair or discriminatory practices and exacerbating housing inequality.","Tenants, particularly those in vulnerable or marginalized communities, and landlords seeking to understand responsible technology use.",Information asymmetry and potential for misuse of technology in housing.,"Housing policy, tenant rights, data privacy, fair housing.",advocacy,medium-term,substantial,Monitoring and analyzing technology trends in the landlord sector.;Providing resources and information to tenants and landlords.;Advocating for policies that promote responsible technology use and protect tenant rights.;Developing educational materials and hosting workshops.,Reports on technology trends in the landlord sector.;Educational resources and training materials.;Policy recommendations.;Public awareness campaigns.;Interactive tools for assessing landlord tech,Increased awareness among tenants and landlords about the implications of landlord technologies.;Informed policy discussions about regulating landlord technologies.;Greater adoption of responsible technology practices by landlords.;Empowered tenants with increased knowledge about their rights.,A fairer and more equitable housing market where technology is used responsibly and does not contribute to housing inequality.,N/A,N/A,N/A,N/A,N/A,N/A
