website,last_update,award
https://github.com/bellingcat/EDGAR,2025-01-22T04:20:46Z,172077
https://github.com/compdemocracy/polis,2025-01-22T22:27:51Z,176887
https://github.com/cverluise/PatCit,2024-12-24T07:41:18Z,84364
https://github.com/datakind/Data-Observation-Toolkit,2025-01-08T05:21:53Z,114503
https://github.com/deepseek-ai/DeepSeek-V3,2025-01-23T11:15:50Z,180451
https://github.com/DISARMFoundation/DISARMframeworks,2025-01-12T08:54:47Z,127145
https://github.com/fission-codes/fission-codes,2024-11-23T14:18:00Z,54688
https://github.com/g0v/vue.vtaiwan.tw,2024-11-05T11:49:40Z,45299
https://github.com/geeksforsocialchange/PlaceCal,2025-01-23T01:27:31Z,177709
https://github.com/i-dot-ai/awesome-gov-datasets,2025-01-21T15:05:23Z,168720
https://github.com/ideal-postcodes/postcodes.io,2025-01-21T19:35:46Z,169846
https://github.com/kazad/pastecal,2025-01-06T23:27:52Z,111183
https://github.com/mastodon/mastodon,2025-01-23T10:43:48Z,180300
https://github.com/notchia/dao-governance-surfaces,2023-09-26T03:36:25Z,9333
https://github.com/openpolitics/groupthink,2024-12-15T16:03:18Z,73182
https://github.com/podemos-info/participa,2023-09-29T06:28:38Z,9391
https://github.com/propublica/django-collaborative,2024-10-17T13:21:57Z,38403
https://github.com/RadicalxChange/rxc-voice,2024-12-29T02:53:33Z,92179
https://github.com/rahvaalgatus/rahvaalgatus,2024-11-28T16:21:21Z,58069
https://github.com/ribenamaplesyrup/sugartrail,2024-11-19T18:11:37Z,52386
https://github.com/SentinelTeam/grim,2025-01-22T13:09:09Z,174382
https://github.com/sinar/popit_ng,2023-11-25T00:35:30Z,10570
https://github.com/StanfordCDT/pb,2024-08-04T01:17:27Z,24017
https://github.com/thicknavyrain/uk_elections_leaflets,2024-12-11T15:49:11Z,68947
https://github.com/travisbrown/birdwatch,2025-01-23T09:35:32Z,179978
https://github.com/tulir/mautrix-whatsapp,2025-01-21T02:39:18Z,165688
https://github.com/ushahidi/platform-comrades,2019-06-30T18:17:53Z,2319
https://github.com/vbuterin/DAO,2024-10-03T05:12:25Z,34433
https://github.com/WhoTargetsMe/ad-transparency-standards/blob/main/implement.md,2024-12-05T09:30:17Z,63230
https://github.com/ytdl-org/youtube-dl,2025-01-23T10:48:17Z,180321
